var;DOY;5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125;130;135;140;145;150
HRp;61;23.0;23.0;23.0;23.0;23.0;23.0;23.315068493150683;23.315068493150683;23.315068493150683;23.315068493150683;23.315068493150683;23.315068493150683;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0
FTSW;61;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0;1.0;1.0;1.0;1.0;1.0;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002
m_NO3;61;3.3060425180786384e-07;4.151782027754543e-07;4.3178125081925524e-07;4.4006621268084293e-07;4.3660821766183786e-07;4.3580121765737866e-07;4.369910155546186e-07;4.35887070566896e-07;4.3563211791383467e-07;4.3557323739349547e-07;4.355596391208994e-07;4.355564986422396e-07;3.928116136357788e-07;4.224579787450982e-07;4.315422027714861e-07;4.343257860491427e-07;4.3517873021268834e-07;4.3544008892682e-07;4.355201743302638e-07;4.355447140586063e-07;4.355522335096078e-07;4.3555453761593584e-07;4.355552436390178e-07;4.355554599782494e-07;4.35555526268806e-07;4.3555554658152444e-07;4.3555555280573716e-07;4.355555547129573e-07;4.3555555529736673e-07;4.3555555547644114e-07
m_NN4;61;5.975118773353633e-06;5.975118773353633e-06;5.975118773353633e-06;6.0607332721293265e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06;5.964444444444446e-06
HRp;62;23.0;23.0;23.0;23.0;23.0;23.0;23.315068493150683;23.315068493150683;23.315068493150683;23.315068493150683;23.315068493150683;23.315068493150683;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0
FTSW;62;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0;1.0;1.0;1.0;1.0;1.0;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002
m_NO3;62;6.058858958845143e-07;7.737522339138741e-07;8.031489973507618e-07;8.35340302414172e-07;8.254462081891341e-07;8.23430971196308e-07;8.256781853391068e-07;8.235323975444744e-07;8.230289869196152e-07;8.229116946182889e-07;8.228844708277937e-07;8.228781657735021e-07;7.399376545105867e-07;7.970646138168549e-07;8.148946857922677e-07;8.20417378355661e-07;8.221204179441931e-07;8.22644224698493e-07;8.228050865074372e-07;8.228544427284731e-07;8.228695782743383e-07;8.2287421825556e-07;8.228756404285346e-07;8.228760762814661e-07;8.22876209848299e-07;8.228762507781465e-07;8.228762633202802e-07;8.228762671635127e-07;8.228762683411684e-07;8.228762687020276e-07
m_NN4;62;5.617241048907755e-06;5.619932940903914e-06;5.6204533189993075e-06;5.762695634630206e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06;5.577123731138546e-06
HRp;63;23.0;23.0;23.0;23.0;23.0;23.0;23.315068493150683;23.315068493150683;23.315068493150683;23.315068493150683;23.315068493150683;23.315068493150683;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0;23.0
FTSW;63;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0;1.0;1.0;1.0;1.0;1.0;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002;1.0000000000000002
m_NO3;63;7.4802897171552e-07;1.0536978194331993e-06;1.1347162448786353e-06;1.2072950955227027e-06;1.1999479967446584e-06;1.1967896728843015e-06;1.2013586069060962e-06;1.197159632721781e-06;1.1958723382691393e-06;1.195506869992899e-06;1.1954078988910815e-06;1.1953819377413095e-06;1.027352691259639e-06;1.129216263950814e-06;1.1708868891861944e-06;1.1866648993516367e-06;1.1923610805003018e-06;1.1943523213782425e-06;1.1950324745252393e-06;1.1952607927881446e-06;1.1953364101222302e-06;1.195361187051826e-06;1.1953692352089396e-06;1.1953718307564014e-06;1.1953726628160383e-06;1.1953729281992476e-06;1.1953730124757114e-06;1.195373039138959e-06;1.195373047547244e-06;1.195373050191279e-06
