nump;retard;name;Len;Lfeuille;Largfeuille;x;y
48;32.806843466997144;Fix2;3.6066572387431974;3.999087177774556;-0.9990555205130096;32.5;2.5
49;69.17411290884071;nonFixSimTest;3.570477539809494;3.9995466141961487;-0.998931490600684;32.5;7.5
50;35.362500725466184;Fix2;3.484087919733769;3.9992552451779515;-0.9982866572783506;32.5;12.5
51;14.552927931954045;nonFixSimTest;3.4734822252407747;4.000156703855272;-1.0003646935443917;32.5;17.5
52;41.52763645431284;Fix2;3.5438317961053256;3.998852531347589;-1.0010799315083634;32.5;22.5
53;36.379486737864696;nonFixSimTest;3.415610426309921;3.99931055081545;-0.9986354681518975;32.5;27.5
54;0;Fix2;3.534971040346288;3.99877456448117;-0.9999124487586148;32.5;32.5
55;28.261436564080682;nonFixSimTest;3.463601299797976;4.0006203582983435;-1.0004796558140079;32.5;37.5
56;44.70298531776031;nonFixSimTest;3.522422857455367;4.0009318483741145;-0.9999962291109137;37.5;2.5
57;42.017475601751585;Fix2;3.5034363826471515;3.9993489744066997;-0.9991431693880973;37.5;7.5
58;24.908468875305168;nonFixSimTest;3.4779673253209302;3.999732266463106;-1.0003948495140333;37.5;12.5
59;11.810636774292036;Fix2;3.4530225111124904;4.000017479159025;-1.0004555325035174;37.5;17.5
60;37.369403239611415;nonFixSimTest;3.529581563203682;4.00004949498165;-1.000249458580161;37.5;22.5
61;12.812580812419277;Fix2;3.376329842388779;3.9983979423443934;-0.9993747685489728;37.5;27.5
62;49.870179936156845;nonFixSimTest;3.477154816191802;3.998301894180568;-0.9991198210879192;37.5;32.5
63;25.4059868010496;Fix2;3.564650729770337;4.000267050869349;-1.0012928569097235;37.5;37.5
